productid,productname,category,unitprice,stockcount,supplier
2059,Home-Skytab Mini Tablet,home,512.05,154,OceanSpan Supply Chain
2060,Home-Oakline Coffee Table,home,408.38,261,Zero Supplies
2061,Clothing-Oakline Coffee Table,clothing,199.92,147,SilverPoint Logistics
2062,Clothing-Softweave Area Rug,clothing,619.36,346,VertexOne Global
2063,Office-Lumaglow Floor Lamp,office,552.46,268,BlueRiver Distributors
2064,Home-Strideflex Sneakers,home,294.04,355,BlueRiver Distributors
2065,Home-Strideflex Sneakers,home,470.34,441,BlueRiver Distributors
2066,Clothing-Prodesk Workstation,clothing,516.06,181,OceanSpan Supply Chain
2067,Electronics-Lumaglow Floor Lamp,electronics,290.95,391,TerraCore Solutions
2068,Electronics-Comfyrest Sofa,electronics,820.24,173,SilverPoint Logistics
2069,Home-Denimforge Jeans,home,232.39,187,BlueRiver Distributors
2070,Clothing-Echowave Headphones,clothing,34.18,274,HorizonWorks Industries
2071,Office-Skytab Mini Tablet,office,615.16,320,SilverPoint Logistics
2072,Office-Oakline Coffee Table,office,420.3,72,HorizonWorks Industries
2073,Office-Thermashell Jacket,office,499.43,363,PrimeGate Procurement
2074,Clothing-Ergolux Office Chair,clothing,659.5,119,GreenPort Essentials
2075,Electronics-Clearnote Whiteboard,electronics,780.64,394,GreenPort Essentials
2076,Clothing-Clearnote Whiteboard,clothing,806.07,497,SummitStone Trading
2077,Electronics-Denimforge Jeans,electronics,561.83,229,SummitStone Trading
2078,Office-Echowave Headphones,office,142.01,68,HorizonWorks Industries
2079,Home-Cozycap Knit Hat,home,950.54,152,HorizonWorks Industries
2080,Office-Echowave Headphones,office,832.26,376,PrimeGate Procurement
2081,Clothing-Printpro Laser Printer,clothing,746.22,196,SummitStone Trading
2082,Office-Lumaglow Floor Lamp,office,266.6,321,ApexNova Supplies
2083,Home-Printpro Laser Printer,home,768.16,178,NorthStar Components
2084,Clothing-Strideflex Sneakers,clothing,281.85,143,NorthStar Components
2085,Home-Printpro Laser Printer,home,242.15,235,ZenithFlow Materials
2086,Home-Storify Bookshelf,home,894.1,227,Zero Supplies
2087,Clothing-Cozycap Knit Hat,clothing,159.32,460,SummitStone Trading
2088,Clothing-Storify Bookshelf,clothing,709.35,30,MetroVale Supply Co.
2089,Office-Softweave Area Rug,office,413.52,101,QuantumEdge Traders
2090,Office-Urbanfit T,office,71.64,58,AtlasPeak Sourcing
2091,Office-Strideflex Sneakers,office,905.79,384,AtlasPeak Sourcing
2092,Office-Ergolux Office Chair,office,482.21,25,MetroVale Supply Co.
2093,Home-Prodesk Workstation,home,755.94,136,SilverPoint Logistics
2094,Clothing-Clearnote Whiteboard,clothing,493.35,55,BlueRiver Distributors
2095,Office-Ergolux Office Chair,office,490.79,312,ApexNova Supplies
2096,Home-Storify Bookshelf,home,672.18,373,MetroVale Supply Co.
2097,Clothing-Urbanfit T,clothing,842.1,260,AtlasPeak Sourcing
2098,Electronics-Printpro Laser Printer,electronics,907.86,457,OceanSpan Supply Chain
2099,Electronics-Oakline Coffee Table,electronics,646.32,150,ZenithFlow Materials
