ProductID,ProductName,Category,UnitPrice,StockCount,Supplier
2057,Home-SnapBind Stapler,Home,436.98,203,BlueRiver Distributors
2058,Home-ComfyRest Sofa,Home,666.75,169,SummitStone Trading
2059,Home-SkyTab Mini Tablet,Home,512.05,154,OceanSpan Supply Chain
2060,Home-OakLine Coffee Table,Home,408.38,261,Zero Supplies
2061,Clothing-OakLine Coffee Table,Clothing,199.92,147,SilverPoint Logistics
2062,Clothing-SoftWeave Area Rug,Clothing,619.36,346,VertexOne Global
2063,Office-LumaGlow Floor Lamp,Office,552.46,268,BlueRiver Distributors
2064,Home-StrideFlex Sneakers,Home,294.04,355,BlueRiver Distributors
2065,Home-StrideFlex Sneakers,Home,470.34,441,BlueRiver Distributors
2066,Clothing-ProDesk Workstation,Clothing,516.06,181,OceanSpan Supply Chain
2067,Electronics-LumaGlow Floor Lamp,Electronics,290.95,391,TerraCore Solutions
2068,Electronics-ComfyRest Sofa,Electronics,820.24,173,SilverPoint Logistics
2069,Home-DenimForge Jeans,Home,232.39,187,BlueRiver Distributors
2070,Clothing-EchoWave Headphones,Clothing,34.18,274,HorizonWorks Industries
2071,Office-SkyTab Mini Tablet,Office,615.16,320,SilverPoint Logistics
2072,Office-OakLine Coffee Table,Office,420.3,72,HorizonWorks Industries
2073,Office-ThermaShell Jacket,Office,499.43,363,PrimeGate Procurement
2074,Clothing-ErgoLux Office Chair,Clothing,659.5,119,GreenPort Essentials
2075,Electronics-ClearNote Whiteboard,Electronics,780.64,394,GreenPort Essentials
2076,Clothing-ClearNote Whiteboard,Clothing,806.07,497,SummitStone Trading
2077,Electronics-DenimForge Jeans,Electronics,561.83,229,SummitStone Trading
2078,Office-EchoWave Headphones,Office,142.01,68,HorizonWorks Industries
2079,Home-CozyCap Knit Hat,Home,950.54,152,HorizonWorks Industries
2080,Office-EchoWave Headphones,Office,832.26,376,PrimeGate Procurement
2081,Clothing-PrintPro Laser Printer,Clothing,746.22,196,SummitStone Trading
2082,Office-LumaGlow Floor Lamp,Office,266.6,321,ApexNova Supplies
2083,Home-PrintPro Laser Printer,Home,768.16,178,NorthStar Components
2084,Clothing-StrideFlex Sneakers,Clothing,281.85,143,NorthStar Components
2085,Home-PrintPro Laser Printer,Home,242.15,235,ZenithFlow Materials
2086,Home-Storify Bookshelf,Home,894.1,227,Zero Supplies
2087,Clothing-CozyCap Knit Hat,Clothing,159.32,460,SummitStone Trading
2088,Clothing-Storify Bookshelf,Clothing,709.35,30,MetroVale Supply Co.
2089,Office-SoftWeave Area Rug,Office,413.52,101,QuantumEdge Traders
2090,Office-UrbanFit T,Office,71.64,58,AtlasPeak Sourcing
2091,Office-StrideFlex Sneakers,Office,905.79,384,AtlasPeak Sourcing
2092,Office-ErgoLux Office Chair,Office,482.21,25,MetroVale Supply Co.
2093,Home-ProDesk Workstation,Home,755.94,136,SilverPoint Logistics
2094,Clothing-ClearNote Whiteboard,Clothing,493.35,55,BlueRiver Distributors
2095,Office-ErgoLux Office Chair,Office,490.79,312,ApexNova Supplies
2096,Home-Storify Bookshelf,Home,672.18,373,MetroVale Supply Co.
2097,Clothing-UrbanFit T,Clothing,842.1,260,AtlasPeak Sourcing
2098,Electronics-PrintPro Laser Printer,Electronics,907.86,457,OceanSpan Supply Chain
2099,Electronics-OakLine Coffee Table,Electronics,646.32,150,ZenithFlow Materials
