productid,productname,category,unitprice,stockcount,supplier
2036,Electronics-Candidate,Home,217.98,56,Zero Supplies
2037,Clothing-Meeting,Electronics,360.14,263,HorizonWorks Industries
2038,Office-Soon,Clothing,926.51,445,SilverPoint Logistics
2039,Clothing-Need,Clothing,976.44,93,SummitStone Trading
2040,Clothing-Determine,Office,34.54,136,NorthStar Components
2041,Home-Assume,Office,804.21,151,SummitStone Trading
2042,Clothing-Lawyer,Home,167.61,330,TerraCore Solutions
2043,Electronics-Practice,Office,873.45,357,EcoFood Wholesale
2044,Office-Society,Clothing,207.58,89,NorthStar Components
2045,Office-Next,Home,312.14,122,BlueRiver Distributors
2046,Clothing-Worry,Clothing,33.43,322,QuantumEdge Traders
2047,Clothing-Hair,Office,334.98,490,MetroVale Supply Co.
2048,Electronics-Candidate,Home,357.63,346,HorizonWorks Industries
2049,Office-Easy,Home,939.84,337,VertexOne Global
2050,Electronics-Young,Home,186.78,260,ZenithFlow Materials
2051,Home-Century,Electronics,117.32,409,VertexOne Global
2052,Office-Year,Home,731.26,356,MetroVale Supply Co.
2053,Home-Ground,Office,610.15,288,BlueRiver Distributors
2054,Electronics-Above,Office,900.51,440,ClearWave Enterprises
2055,Clothing-Politics,Home,53.94,305,Zero Supplies
2056,Office-About,Electronics,524.72,181,NorthStar Components
2057,Clothing-Identify,Home,436.98,203,BlueRiver Distributors
2058,Home-Wear,Home,666.75,169,SummitStone Trading
2059,Electronics-Clear,Home,512.05,154,OceanSpan Supply Chain
2060,Office-Term,Home,408.38,261,Zero Supplies
2061,Home-Quite,Clothing,199.92,147,SilverPoint Logistics
2062,Office-Receive,Clothing,619.36,346,VertexOne Global
2063,Home-Good,Office,552.46,268,BlueRiver Distributors
2064,Electronics-Stop,Home,294.04,355,BlueRiver Distributors
2065,Office-Animal,Home,470.34,441,BlueRiver Distributors
2066,Office-Occur,Clothing,516.06,181,OceanSpan Supply Chain
2067,Clothing-Remain,Electronics,290.95,391,TerraCore Solutions
2068,Home-Read,Electronics,820.24,173,SilverPoint Logistics
2069,Clothing-Garden,Home,232.39,187,BlueRiver Distributors
2070,Clothing-About,Clothing,34.18,274,HorizonWorks Industries
2071,Clothing-Success,Office,615.16,320,SilverPoint Logistics
2072,Electronics-Become,Office,420.3,72,HorizonWorks Industries
2073,Clothing-Executive,Office,499.43,363,PrimeGate Procurement
2074,Clothing-Strong,Clothing,659.5,119,GreenPort Essentials
2075,Electronics-Letter,Electronics,780.64,394,GreenPort Essentials
2076,Clothing-Affect,Clothing,806.07,497,SummitStone Trading
2077,Office-Ball,Electronics,561.83,229,SummitStone Trading
2078,Electronics-Film,Office,142.01,68,HorizonWorks Industries
2079,Office-Who,Home,950.54,152,HorizonWorks Industries
2080,Office-Doctor,Office,832.26,376,PrimeGate Procurement
2081,Office-Light,Clothing,746.22,196,SummitStone Trading
2082,Office-Figure,Office,266.6,321,ApexNova Supplies
2083,Clothing-Cut,Home,768.16,178,NorthStar Components
2084,Office-Stuff,Clothing,281.85,143,NorthStar Components
2085,Electronics-Officer,Home,242.15,235,ZenithFlow Materials
2086,Home-Of,Home,894.1,227,Zero Supplies
2087,Electronics-Rather,Clothing,159.32,460,SummitStone Trading
2088,Office-Evening,Clothing,709.35,30,MetroVale Supply Co.
2089,Electronics-Action,Office,413.52,101,QuantumEdge Traders
2090,Office-Staff,Office,71.64,58,AtlasPeak Sourcing
2091,Office-Mrs,Office,905.79,384,AtlasPeak Sourcing
2092,Electronics-Add,Office,482.21,25,MetroVale Supply Co.
2093,Home-Real,Home,755.94,136,SilverPoint Logistics
2094,Office-Fight,Clothing,493.35,55,BlueRiver Distributors
2095,Home-Seem,Office,490.79,312,ApexNova Supplies
2096,Office-Discuss,Home,672.18,373,MetroVale Supply Co.
2097,Office-Recent,Clothing,842.1,260,AtlasPeak Sourcing
2098,Clothing-Trouble,Electronics,907.86,457,OceanSpan Supply Chain
2099,Electronics-Several,Electronics,646.32,150,ZenithFlow Materials
